id,numeros,letras
1,90.3933492973447,P
2,21.2454089969397,Q
3,96.1967253582552,C
4,95.6178018655628,L
5,36.8400184824131,D
6,69.6138594930526,W
7,83.8025261270814,M
8,55.6696348481346,C
9,58.6264432943426,A
10,59.5798231123481,V
11,58.2788000842556,T
12,10.4321373600978,L
13,35.5743290192913,V
14,19.1560923857614,I
15,48.9773567195516,Q
16,90.2945647316519,B
17,20.7638033835683,M
18,22.400439174613,I
19,24.3732974533923,L
20,87.4643953759223,K
21,5.9699971426744,G
22,81.7171653739642,I
23,5.2470179181546,L
24,76.0066048132721,I
25,15.3347658843268,W
26,94.7223435968626,J
27,38.0364808097947,Z
28,93.5675595034845,D
29,78.4297632840462,G
30,81.5820943466388,P
31,95.8929022098891,S
32,94.0976711297408,F
33,75.542378292419,Y
34,26.1694458175916,K
35,89.3950274474919,O
36,69.1830322537571,Y
37,96.9048319496214,H
38,52.0008927111048,R
39,32.7549273266923,E
40,65.9758183080703,X
41,90.3810000885278,T
42,51.756697566947,S
43,26.1437309538014,A
44,34.3344101323746,D
45,63.393519502366,R
46,61.6469805426896,H
47,82.1564687374048,J
48,56.9957281632815,G
49,2.84090018551797,B
50,74.5157006673981,N
51,88.9271824317984,F
52,8.76390599133447,U
53,29.7220578575507,Z
54,98.879390206188,T
55,2.53865583986044,J
56,99.4429623354226,Q
57,81.9377299717162,B
58,99.8058578390628,D
59,42.2812619102187,X
60,19.9165431996807,L
61,73.1344084043522,C
62,95.9977449993603,O
63,86.3830124237575,L
64,90.6079411646351,L
65,46.2074524995405,Y
66,20.4414568599314,G
67,55.0749450186268,U
68,16.9099925796036,R
69,22.027538532624,R
70,32.0101489429362,S
71,88.4685718698893,R
72,68.2895480762236,J
73,70.627328342991,W
74,37.2263072072528,Q
75,64.8303421065211,L
76,35.1704408186488,R
77,85.6721171459649,W
78,57.4175476708915,A
79,9.32820853637531,Q
80,45.2232674502302,W
81,45.6778383203782,K
82,47.6769205043092,F
83,28.5604313022923,Y
84,23.2680970404763,V
85,90.1508734931704,L
86,18.0496593615972,U
87,43.0571760886815,D
88,3.32975553534925,L
89,22.9162133941427,V
90,86.0921963378787,A
91,48.0464360811748,J
92,6.39310767082498,F
93,8.87093977467157,I
94,96.1552625978366,Z
95,54.7276354837231,S
96,24.3999368851073,N
97,74.805660921149,Y
98,20.8158840266988,D
99,46.835486082593,V
100,32.6850781112444,Z
101,13.8902757582255,C
102,57.3339658407495,C
103,33.2891115604434,Y
104,89.0442760286387,U
105,99.5026058293879,N
106,93.660254197428,T
107,34.2196142980829,B
108,27.6829542673659,T
109,7.9624902328942,D
110,31.3576450704131,N
111,68.1769203008153,O
112,51.2817892450839,A
113,47.023903487483,F
114,97.6911177420989,T
115,29.8755423796829,K
116,54.091674948344,M
117,31.8592991547193,C
118,36.7200231608003,P
119,93.8320885957219,G
120,43.4384460400324,P
121,49.6419290951453,N
122,6.51329248840921,T
123,56.845519563416,L
124,31.542223965982,S
125,26.5973875133786,M
126,20.0166394850239,H
127,50.2601391526405,Q
128,8.32857464416884,X
129,24.2956266482361,J
130,75.5155039788224,F
131,1.37364652450196,U
132,9.54702790873125,X
133,54.5667579909787,A
134,57.3977691181935,P
135,19.8279926611576,J
136,29.2233523591422,A
137,86.1734315159265,H
138,79.2980610935483,U
139,78.8912451674696,P
140,71.2203462007456,Z
141,19.9241447057575,S
142,91.3659825145733,I
143,51.209560853662,W
144,67.4627927348483,N
145,51.9458220838569,Q
146,3.65596974990331,H
147,11.465617892798,C
148,89.3098076216411,T
149,67.796916637104,V
150,23.9923076315317,M
151,80.8672446860001,N
152,58.7810356798582,Z
153,71.9144424451515,C
154,2.99586741393432,Q
155,64.43307951116,S
156,49.1873673067894,I
157,7.98865317017771,Z
158,7.87701030820608,I
159,97.2558646504767,A
160,17.5354978516698,N
161,67.1553367774468,A
162,93.947110414505,O
163,89.0785893441644,H
164,92.1929214049596,U
165,1.12743934849277,B
166,4.37561964476481,M
167,38.099619779503,X
168,19.6996890672017,S
169,26.5804787839297,C
170,4.30672782077454,W
171,76.0969645185396,Y
172,97.1439553278033,W
173,35.6013052840717,Z
174,67.8864060116466,Y
175,56.5433227473404,B
176,72.2395623729099,V
177,56.5154766589403,W
178,86.9621168377344,Y
179,63.6024200594984,G
180,95.6626891070046,V
181,83.4351353438106,P
182,99.9752225892153,M
183,95.2784927210305,L
184,19.5296193256509,F
185,12.1513253503945,N
186,52.917352946708,D
187,86.9228051712271,W
188,41.8360304646194,G
189,11.6188331651501,D
190,61.8131260511,H
191,87.7176184668206,N
192,50.9077991798986,I
193,34.5955843091942,X
194,15.7889224956743,F
195,16.4496408260893,A
196,83.3538466892205,E
197,43.6782285165973,I
198,38.5943210374098,W
199,86.5472252622712,S
200,54.8632511650212,W
201,71.2659874153324,R
202,32.8675949329045,Q
203,19.4358117664233,F
204,8.67553939367645,E
205,79.024383478798,D
206,28.1358036308084,Y
207,47.359552416252,E
208,81.8851047207136,Q
209,17.4687508519273,A
210,29.9313486320898,X
211,35.1739032403566,P
212,83.319562186487,O
213,33.4190849363804,T
214,46.980789154768,F
215,36.9576695261058,K
216,43.2854414237663,Y
217,22.8944232936483,W
218,10.1323689783458,Y
219,89.8060509862844,E
220,6.23518869862892,E
221,51.0630818507634,O
222,24.6415124393534,G
223,85.7058691652492,T
224,21.7818280891515,I
225,56.9066140465438,S
226,4.77782958094031,A
227,7.0319541185163,B
228,64.074668292189,Z
229,56.134287544759,A
230,91.2675403831527,K
231,31.5748406460043,E
232,88.9808189426549,S
233,86.4434582041577,F
234,71.9303913167678,D
235,11.6884369417094,I
236,8.09611799288541,H
237,27.4252849938348,Z
238,18.6654361442197,C
239,69.602342881728,J
240,18.4301876716781,F
241,29.7025655657053,R
242,57.7567832160275,B
243,57.7820270713419,V
244,51.902146892855,J
245,86.4822669606656,W
246,76.4907246308867,W
247,43.8020848215092,Q
248,23.9834250626154,U
249,44.7364328913391,V
250,62.1871890241746,L
251,39.5887673362158,W
252,12.910083032446,B
253,28.6115223758388,J
254,70.215823284816,E
255,35.5096358645242,A
256,73.6179084933829,L
257,40.2251532406081,L
258,52.7309582459275,U
259,6.55960123776458,H
260,31.3234673363622,Q
261,2.35917639359832,E
262,14.4626554278657,Q
263,92.0433183116838,M
264,26.6926469146274,X
265,74.6202831275296,P
266,71.8898181801196,H
267,90.8642972202506,T
268,46.6868702308275,M
269,16.6444451741409,A
270,20.4443662604317,P
271,12.9315055508632,U
272,52.6544403904118,T
273,83.8589636792895,I
274,59.2095692364965,K
275,87.7040370847099,T
276,99.5382728390396,A
277,58.9892850448377,E
278,92.2560965174343,K
279,9.50778760574758,P
280,20.1622734894045,G
281,39.2987439017743,U
282,78.9705378792714,S
283,64.7882336399052,L
284,11.4676430863328,B
285,59.3132090112195,E
286,88.362287703203,L
287,96.0619092895649,Z
288,37.2217312748544,A
289,91.1091820274014,Z
290,7.74463124852628,C
291,92.891402057372,T
292,20.5640979565214,Z
293,83.8632654983085,Z
294,68.7828044993803,V
295,56.9125206228346,Q
296,68.9000056025107,C
297,90.8558474425226,M
298,46.9633028095123,Z
299,80.7665391368792,V
300,87.6388517152518,F
301,24.8515266454779,S
302,50.7853459888138,F
303,41.7527630857658,B
304,65.4528334222268,G
305,24.7373468286824,T
306,48.9855110393837,I
307,8.12040687701665,N
308,69.7274393583648,W
309,37.2213527439162,O
310,59.5967201322783,L
311,5.00766330002807,Z
312,47.2377116929274,A
313,51.4381687613204,G
314,23.0249306051992,X
315,95.0546205991414,D
316,85.3765617706813,Q
317,95.6011354862712,N
318,4.44568442599848,V
319,14.4902030157391,E
320,13.8412789367139,E
321,77.1413955718745,V
322,77.5169190077577,I
323,85.19044609298,F
324,87.8493030229583,M
325,80.5179192237556,M
326,90.8827712910715,L
327,93.2332779606804,G
328,51.2111565982923,H
329,8.49210766213946,H
330,88.5700321989134,T
331,42.471805837471,Q
332,67.5655400275718,F
333,5.85954784485512,F
334,46.6884987989906,K
335,80.1457685902715,D
336,24.3641973133199,A
337,99.2212013152894,I
338,33.4666661969386,N
339,45.3031062451191,G
340,60.7658975983504,F
341,94.7579518745188,D
342,49.4141173425596,I
343,79.983383750543,R
344,52.9054512120783,L
345,28.2433313806541,F
346,76.5442243847065,S
347,79.8792355337646,Q
348,3.83350075990893,C
349,9.45879714610055,N
350,7.42687335796654,V
351,60.0115882656537,Y
352,83.584200813435,M
353,48.1784833096899,I
354,7.68197815469466,I
355,78.9674570541829,H
356,77.0156646145042,W
357,63.834622973809,M
358,59.5251787761226,Q
359,58.3455947979819,G
360,75.7929394270759,V
361,50.6641268380918,H
362,62.3572924651671,A
363,32.2313538070302,N
