id,numeros,letras
1,9.73728633578867,Y
2,55.7751753681805,O
3,54.3181013588328,W
4,41.5772019026335,P
5,39.0608776833396,K
6,10.8427694828715,N
7,18.6880433063488,M
8,52.423479906749,T
9,52.398102060426,E
10,64.6877509634942,T
11,5.21271038823761,O
12,24.7784592485987,M
13,80.5893358550966,K
14,96.9663186785765,Z
15,61.5553821409121,S
16,75.0022114627063,L
17,96.8306672924664,T
18,48.9550340434071,K
19,81.6031030211598,X
20,2.03107869834639,P
21,38.6950024068356,M
22,12.060730924597,S
23,60.8669511599001,B
24,76.6506806905381,D
25,46.2414267461281,Q
26,48.512706765905,N
27,73.3843315315899,F
28,94.2075572181493,K
29,56.9503830519971,Q
30,61.6485233178828,V
31,89.9064303515479,A
32,54.8077198558021,I
33,60.4522979238536,I
34,7.29211692023091,Q
35,31.439750302583,E
36,95.115995649714,H
37,88.8933139857836,D
38,2.77939702174626,L
39,11.5566612679977,Q
40,76.2496314488817,H
41,59.9610718574841,K
42,6.1421894649975,X
43,14.264952651225,E
44,95.6351157720201,L
45,37.4640968528111,P
46,32.5252017132007,Q
47,22.1496433194261,H
48,31.1542289245408,T
49,57.6076037629973,N
50,69.5947648407891,V
51,68.0382762567606,T
52,72.470052562654,K
53,30.4460860060062,P
54,73.6046428303234,L
55,50.3502323511057,K
56,65.4759293184616,W
57,73.4863800334279,T
58,4.53715796465986,B
59,34.1098611634225,F
60,73.2069069906138,E
61,83.9140898345504,J
62,87.5045489522163,V
63,49.8170233727433,U
64,41.3103112448007,L
65,55.4911925240886,X
66,2.40066356421448,S
67,20.1333183390088,K
68,73.8038826887496,V
69,64.846951413434,M
70,54.0321136054117,J
71,94.6916251496878,K
72,39.74256665539,F
73,38.8743438513484,O
74,88.212447100319,Y
75,83.2650476000272,A
76,97.8467288326938,Z
77,51.870330378646,G
78,3.24396049091592,H
79,56.6771463882178,G
80,24.7507737281267,W
81,17.2892217093613,Q
82,11.0334675700869,Q
83,96.0209952169098,O
84,44.6291666002944,C
85,83.8058121453505,G
86,36.5184961198829,Y
87,42.2029811497778,T
88,41.3864265971351,Y
89,46.6459834957495,K
90,28.921235573478,M
91,59.9383902892005,J
92,92.7890860345215,D
93,61.758850910468,B
94,37.4427965928335,D
95,5.51749092806131,Y
96,89.4498878566083,H
97,1.3582202938851,W
98,80.9543985647615,K
99,36.058711379068,L
100,42.0012172446586,N
101,61.5027681614738,F
102,61.5335181183182,F
103,64.1069889841601,P
104,2.48210278293118,Q
105,45.2217836144846,F
106,22.2262775325216,O
107,15.2787454721984,N
108,40.8539887182415,V
109,38.3499817831907,A
110,56.3817567902152,I
111,51.1775925075635,G
112,68.3322466749232,D
113,24.2850039941259,Q
114,74.6098632232752,H
115,15.9134449292906,V
116,33.0931362144183,K
117,66.9512361548841,C
118,83.0304339078721,E
119,44.2765851311851,B
120,14.1199520672672,R
121,43.4894636524841,P
122,34.7172073230613,X
123,73.9115209414158,B
124,96.9865409021732,B
125,4.61917950143106,T
126,15.1102265503723,Y
127,59.3879433779512,H
128,99.3135083273519,A
129,9.21530275209807,T
130,66.4526193307247,H
131,39.9708548332565,O
132,20.9755708596204,M
